Organization Name,Mission Statement,Website Link
Cincinnati Waldorf School,"The Cincinnati Waldorf School educates the unfolding capacities of children by engaging the creative imagination of the mind, the spirit of the heart, and the skillful use of the hands. The Faculty is supported by the active participation of parents ...",http://www.cincinnatiwaldorfschool.org
"Karamu House, Inc.","To produce professional theatre, provide arts education and present community programs for all people while honoring the African-American experience.",http://karamuhouse.org
City of Fairfield,"The mission of Fairfield Parks and Recreation is to enrich the quality of life for the citizens of the community, sustain the City’s natural resources and environment, and provide broad based leisure activities, cultural opportunities, faciliti...",https://www.fairfield-city.org/
Power Inspires Progress,Power Inspires Progress (PIP) is the non-profit which operates Venice on Vine and Venice Catering to support our mission of providing positive paid-on-the-job training for one year to adults who have encountered significant barriers on their road to ...,http://www.VeniceOnVine.com
The National Kidney Foundation Serving Ohio,"The National Kidney Foundation (NKF), a major voluntary non-profit health organization, is dedicated to preventing kidney and urinary tract diseases, improving the health and well-being of individuals and families affected by these diseases and incre...",http://www.nkfohio.org
AFS-USA,"AFS provides intercultural learning opportunities to help people develop the knowledge, skills and understanding needed to create a more just and peaceful world.",http://www.afsusa.org
The Women's Clinic of Columbus,"The mission of The Women's Clinic of Columbus is to care for the well-being and education of women and men, particularly those experiencing an unexpected pregnancy. Through medical, education and support services, TWC can provide help for the complet...",http://columbustwc.com
Valleyview Elementary School,"We believe... Our students will be treated with respect. Our students will feel cared for, cared about and proud of what they accomplish. Our students will be taught according to their capabilities and learning styles. Our students will have positive...",http://www.columbus.k12.oh.us/valleyview
OTR Chamber of Commerce,The mission of the Over-the-Rhine Chamber of Commerce is to represent our members by promoting economic vitality and fostering a socially and culturally diverse Over-the-Rhine Community.,http://secondsundayonmain.org/
Second Ward Community Initiative,"To improve the quality of life and positively impact the Delaware Community, We work on behalf of residents: sharing resources and providing intergenerational service across the span of life.",n/a
NATURAL RESOURCES DEFENSE COUNCIL,"NRDC works to safeguard the earth--its people, its plants and animals, and the natural systems on which all life depends. We combine the power of more than three million members and online activists with the expertise of some 600 scientists, lawyers,...",https://www.nrdc.org/
Joseph House,Joseph House's mission is to meet the needs of the homeless veterans of our community. Services are available to men and women.,http://www.josephhouse.com
Lake Center Christian School,Lake Center Christian School assists Christian families and their churches in equipping students for lifelong learning and service to Christ. Lake Center Christian School offers an accredited Preschool-12th-grade education which is centered in Jesus ...,http://www.lccs.com
Avalon Hospice,Avalon Hospice is an affiliate of CURO Health Services and its family of hospice care providers. The mission of CURO Health Services and its hospice affiliates is to honor life and offer compassion to individuals and their caregivers when facing a li...,http://www.avalon-hospice.com/
Ashland Parenting Plus CASA Program,"The mission of the Ashland Parenting Plus Court Appointed Special Advocate/ Guardian ad litem Program is to recruit, screen, train, guide, supervise and support qualified CASA volunteers (Court Appointed Special Advocates), who are appointed by the A...",http://www.ashlandparentingplus.org
"The Starfish Alliance, Inc","To prepare resilient, successful youth who thrive and make positive contributions where they live, learn, and work.",http://www.starfishalliance.org
FAITHFUL FORGOTTEN BEST FRIENDS,"We organization is focused on improving the quality of life for pets in Franklin Country owned by under served and vulnerable populations such as the homeless, senior citizens and veterans.",http://ffbf-columbus.org
CASA DE PAZ,"Casa de Paz/House of Peace ministers to and with Latina migrant women and children who have experienced trauma and violence, especially violence that displaces them from their homes. It provides a culturally sensitive, caring community and temporary ...",http://www.casadepazcinci.org
Catholic Social Services,"Motivated by faith, Catholic Social Services helps poor and vulnerable seniors and families reach their potential.",http://www.colscss.org
Y S CHAMBER OF COMMERCE,The mission of the YS Chamber is to encourage a business environment that drives the prosperity of its members while enhancing Yellow Springs' quality of life.,http://www.yellowspringsohio.org
"Ohio Pet Charities, Inc.","Ohio Pet Charities, Inc. is an organization committed to improving the welfare of animals in Ohio. As a leader in lending our time, expertise and skills, we partner with other organizations to improve the welfare of all animals. We strive to provide ...",http://ohiopetcharities.org
Hamilton County Public Health,"Hamilton County Public Health educates, serves and protects our community for a healthier future.",https://www.hamiltoncountyhealth.org
FRY OUT CANCER,To fund cancer research while feeding the hungry on Thanksgiving.,http://FryOutCancer.org
Lockland Elementary School,"We are dedicated to providing challenging educational experiences that maximize each student’s intellectual, social and physical potential to develop responsible citizens and leaders.",http://www.locklandschools.org
DAVE THOMAS FOUNDATION FOR ADOPTION,Dramatically increase the number of adoptions of children waiting in North America’s foster care systems.,http://www.davethomasfoundation.org
CincySmiles Foundation,"To ensure that all members of our community have access to oral health education, disease prevention and treatment services with a special emphasis on those at risk due to poverty.",http://cincysmiles.org
USO of Central & Southern Ohio,"T he USO of Central & Southern Ohio is a private, nonprofit organization whose mission is to support military service members in a 55 county area in central and southern Ohio. We provide morale, welfare and recreation-type services to our men and wom...",http://www.usoofcentralohio.org
COMMUNITY ACTION COMMITTEE OF PIKE COUNTY,It is the mission of the Community Action Committee of Pike County to improve the well-being and independence of those we serve.,http://WWW.PIKECAC.ORG
ATHLETES VS CROHNS INC,To raise awareness of Crohn’s and Colitis in the adolescent population and help children realize their personal and athletic potential despite being diagnosed with a chronic illness.,http://athletesvscrohns.org
Greater Cleveland Neighborhood Centers Association,"To support and strengthen the capacity of community based organizations to provide human services and education for children, families and seniors; and to advocate for the social, economic and political well-being of Greater Clevelanders",http://www.gcnca.org
SouthernCare Hospice-Toledo,"To honor life and offer compassion to patients, their families, and caregivers when facing a life-limiting illness.",http://southerncarehospice.com
GAHANNA INCLUSION FOR TEENS AND YOUNG ADULTS,"GIFT offers inclusion-based programs and advocacy for marginalized teens and young adults who experience intellectual delays, cultural differences, language barriers or other social limitations and challenges.",http://www.gahannainclusion.org
FRANCISCAN EARTH LITERACY CENTER,"In the spirit of St. Francis, the Franciscan Earth Literacy Center recognizes our oneness with all creation. We promote active learning and healthy relationships with our natural environment to achieve sustainable living.",http://www.felctiffin.org
Canine Companions for Independence North Central R,Canine Companions for Independence is a non-profit organization that enhances the lives of people with disabilities by providing highly trained assistance dogs and ongoing support to ensure quality partnerships.,http://www.cci.org
Friends For Life Animal Haven,"To promote and support humane care for companion animals to achieve the goal of ""no more homeless pets"".",http://www.fflah.org
Maumee Valley Habitat for Humanity,"Seeking to put God's love into action, Maumee Valley Habitat for Humanity brings people together to build homes, communities, and hope in Lucas County, Ohio and around the world.",http://www.mvhabitat.org
